candidate_index,raw,valid,invalid_reasons,duplicate_of,canonical_expression,terms,term_count,cv_rmse_mean,cv_rmse_std,cv_r2,condition_number,fold_rmse,coefficients_json
1,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br,Sn;Br;Cl;Sn^2;Br^2;Sn*Br,6,0.0632822727782194,0.0031525291333983035,0.9580210614735094,22.955300334594614,0.0663969928;0.0668403800;0.0622958862;0.0600845172;0.0607935877,"[{""term"": ""Intercept"", ""coefficient"": 1.5612538908761886, ""ci_95_low"": 1.5513280757141803, ""ci_95_high"": 1.571179706038197}, {""term"": ""Sn"", ""coefficient"": -1.0800965433053666, ""ci_95_low"": -1.1516672935648573, ""ci_95_high"": -1.008525793045876}, {""term"": ""Br"", ""coefficient"": 0.40670063819222857, ""ci_95_low"": 0.3364248437235571, ""ci_95_high"": 0.47697643266090006}, {""term"": ""Cl"", ""coefficient"": 1.5111199884533797, ""ci_95_low"": 1.469853964099937, ""ci_95_high"": 1.5523860128068223}, {""term"": ""Sn^2"", ""coefficient"": 0.876648090468558, ""ci_95_low"": 0.7967510043613314, ""ci_95_high"": 0.9565451765757845}, {""term"": ""Br^2"", ""coefficient"": 0.32220530397129, ""ci_95_low"": 0.2448622133862387, ""ci_95_high"": 0.3995483945563413}, {""term"": ""Sn*Br"", ""coefficient"": -0.21215643059065412, ""ci_95_low"": -0.3051385134255665, ""ci_95_high"": -0.1191743477557417}]"
2,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Cl,Sn;Br;Cl;Sn^2;Br^2;Sn*Cl,6,0.06412426954275545,0.008860230107385257,0.9563125676067751,22.915633404716854,0.0614325896;0.0793119516;0.0618019553;0.0559585641;0.0621162870,"[{""term"": ""Intercept"", ""coefficient"": 1.56767364425059, ""ci_95_low"": 1.5584318892081772, ""ci_95_high"": 1.576915399293003}, {""term"": ""Sn"", ""coefficient"": -1.1159313675343998, ""ci_95_low"": -1.1863943101598606, ""ci_95_high"": -1.045468424908939}, {""term"": ""Br"", ""coefficient"": 0.34493333514835794, ""ci_95_low"": 0.28077275063721463, ""ci_95_high"": 0.40909391965950126}, {""term"": ""Cl"", ""coefficient"": 1.5627373128715634, ""ci_95_low"": 1.5181185313624728, ""ci_95_high"": 1.607356094380654}, {""term"": ""Sn^2"", ""coefficient"": 0.8933754802608972, ""ci_95_low"": 0.8138780150071765, ""ci_95_high"": 0.9728729455146179}, {""term"": ""Br^2"", ""coefficient"": 0.3730466800873191, ""ci_95_low"": 0.2997865272273028, ""ci_95_high"": 0.4463068329473354}, {""term"": ""Sn*Cl"", ""coefficient"": -0.3169422190090638, ""ci_95_low"": -0.426138215822331, ""ci_95_high"": -0.20774622219579653}]"
3,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Br*Cl,Sn;Br;Cl;Sn^2;Br^2;Br*Cl,6,0.06471256645771986,0.005340249236049287,0.9559413312934825,38.64897285885381,0.0677208880;0.0719892469;0.0637397667;0.0580856689;0.0620272618,"[{""term"": ""Intercept"", ""coefficient"": 1.5686841530075957, ""ci_95_low"": 1.55906205937971, ""ci_95_high"": 1.5783062466354814}, {""term"": ""Sn"", ""coefficient"": -1.0996484443749248, ""ci_95_low"": -1.1720798675855495, ""ci_95_high"": -1.0272170211643001}, {""term"": ""Br"", ""coefficient"": 0.34750120353111574, ""ci_95_low"": 0.28003835277601274, ""ci_95_high"": 0.41496405428621874}, {""term"": ""Cl"", ""coefficient"": 1.516090154641852, ""ci_95_low"": 1.4620818241612978, ""ci_95_high"": 1.570098485122406}, {""term"": ""Sn^2"", ""coefficient"": 0.8588663157158059, ""ci_95_low"": 0.7778132264862793, ""ci_95_high"": 0.9399194049453324}, {""term"": ""Br^2"", ""coefficient"": 0.37144183325294355, ""ci_95_low"": 0.2955541912223052, ""ci_95_high"": 0.4473294752835819}, {""term"": ""Br*Cl"", ""coefficient"": -0.033988225956901444, ""ci_95_low"": -0.23113301861384417, ""ci_95_high"": 0.1631565667000413}]"
4,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Sn*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Sn*Cl,Sn;Br;Cl;Sn^2;Br^2;Sn*Br;Sn*Cl,7,0.0638175279438075,0.00731213991296914,0.9569392746862546,23.983038074269263,0.0617605756;0.0767108814;0.0605793071;0.0585958174;0.0614410582,"[{""term"": ""Intercept"", ""coefficient"": 1.561029559169062, ""ci_95_low"": 1.5513596625426702, ""ci_95_high"": 1.5706994557954537}, {""term"": ""Sn"", ""coefficient"": -1.0975752360269375, ""ci_95_low"": -1.1675947208609925, ""ci_95_high"": -1.0275557511928826}, {""term"": ""Br"", ""coefficient"": 0.3989269658432779, ""ci_95_low"": 0.33040575035252695, ""ci_95_high"": 0.4674481813340289}, {""term"": ""Cl"", ""coefficient"": 1.5596653070941884, ""ci_95_low"": 1.515667470725245, ""ci_95_high"": 1.6036631434631317}, {""term"": ""Sn^2"", ""coefficient"": 0.9065664445495552, ""ci_95_low"": 0.8279559629429103, ""ci_95_high"": 0.9851769261562}, {""term"": ""Br^2"", ""coefficient"": 0.3287023471285702, ""ci_95_low"": 0.25331816055526746, ""ci_95_high"": 0.404086533701873}, {""term"": ""Sn*Br"", ""coefficient"": -0.1862731532574663, ""ci_95_low"": -0.2773548825356976, ""ci_95_high"": -0.09519142397923494}, {""term"": ""Sn*Cl"", ""coefficient"": -0.29377865800270575, ""ci_95_low"": -0.4019866369510122, ""ci_95_high"": -0.18557067905439928}]"
5,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Br*Cl,Sn;Br;Cl;Sn^2;Br^2;Sn*Br;Br*Cl,7,0.06424019512520014,0.003964553364386159,0.9566921631799965,38.66355261384529,0.0672856744;0.0695440688;0.0626316978;0.0605888020;0.0611507327,"[{""term"": ""Intercept"", ""coefficient"": 1.5611161463311352, ""ci_95_low"": 1.5510995470135172, ""ci_95_high"": 1.5711327456487532}, {""term"": ""Sn"", ""coefficient"": -1.0801243691484153, ""ci_95_low"": -1.151762883831888, ""ci_95_high"": -1.0084858544649424}, {""term"": ""Br"", ""coefficient"": 0.4080132025030009, ""ci_95_low"": 0.3366301572064543, ""ci_95_high"": 0.4793962477995475}, {""term"": ""Cl"", ""coefficient"": 1.5147146449506057, ""ci_95_low"": 1.4616786649904483, ""ci_95_high"": 1.5677506249107631}, {""term"": ""Sn^2"", ""coefficient"": 0.8766999220098998, ""ci_95_low"": 0.7967262660625583, ""ci_95_high"": 0.9566735779572413}, {""term"": ""Br^2"", ""coefficient"": 0.32151331069596917, ""ci_95_low"": 0.24383304978767625, ""ci_95_high"": 0.39919357160426205}, {""term"": ""Sn*Br"", ""coefficient"": -0.2118582126146959, ""ci_95_low"": -0.304968644056732, ""ci_95_high"": -0.11874778117265979}, {""term"": ""Br*Cl"", ""coefficient"": -0.02092642766550755, ""ci_95_low"": -0.21459440313158096, ""ci_95_high"": 0.17274154780056583}]"
6,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Cl + a7*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Cl + a7*Br*Cl,Sn;Br;Cl;Sn^2;Br^2;Sn*Cl;Br*Cl,7,0.06439959759389632,0.008319794805995647,0.9560224929017427,38.91487564395456,0.0619894196;0.0786898188;0.0617902227;0.0568423567;0.0626861701,"[{""term"": ""Intercept"", ""coefficient"": 1.5670990360864043, ""ci_95_low"": 1.5577492346520472, ""ci_95_high"": 1.5764488375207615}, {""term"": ""Sn"", ""coefficient"": -1.1161182567265473, ""ci_95_low"": -1.1866068904197433, ""ci_95_high"": -1.0456296230333513}, {""term"": ""Br"", ""coefficient"": 0.35020776899956674, ""ci_95_low"": 0.2847576778543845, ""ci_95_high"": 0.415657860144749}, {""term"": ""Cl"", ""coefficient"": 1.5769014715835548, ""ci_95_low"": 1.52053584540442, ""ci_95_high"": 1.6332670977626895}, {""term"": ""Sn^2"", ""coefficient"": 0.8940607303314329, ""ci_95_low"": 0.8145184963058618, ""ci_95_high"": 0.9736029643570039}, {""term"": ""Br^2"", ""coefficient"": 0.3701725405870798, ""ci_95_low"": 0.2965550911208039, ""ci_95_high"": 0.44378999005335573}, {""term"": ""Sn*Cl"", ""coefficient"": -0.3205546152266723, ""ci_95_low"": -0.4301403643911812, ""ci_95_high"": -0.21096886606216336}, {""term"": ""Br*Cl"", ""coefficient"": -0.07894767492830788, ""ci_95_low"": -0.2708081592769422, ""ci_95_high"": 0.11291280942032643}]"
7,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Sn*Cl + a8*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Sn*Br + a7*Sn*Cl + a8*Br*Cl,Sn;Br;Cl;Sn^2;Br^2;Sn*Br;Sn*Cl;Br*Cl,8,0.06403380156765565,0.006813920996405885,0.9567105130622053,38.94579412426583,0.0624267722;0.0760059650;0.0607032906;0.0591080207;0.0619249593,"[{""term"": ""Intercept"", ""coefficient"": 1.5606045267065074, ""ci_95_low"": 1.5508485523210782, ""ci_95_high"": 1.5703605010919366}, {""term"": ""Sn"", ""coefficient"": -1.0978442156082309, ""ci_95_low"": -1.167906688818621, ""ci_95_high"": -1.0277817423978408}, {""term"": ""Br"", ""coefficient"": 0.40287298187805837, ""ci_95_low"": 0.33333462849228623, ""ci_95_high"": 0.4724113352638305}, {""term"": ""Cl"", ""coefficient"": 1.571205607903028, ""ci_95_low"": 1.5155745233314066, ""ci_95_high"": 1.6268366924746496}, {""term"": ""Sn^2"", ""coefficient"": 0.9070397518845659, ""ci_95_low"": 0.8283736734532903, ""ci_95_high"": 0.9857058303158415}, {""term"": ""Br^2"", ""coefficient"": 0.3266471751067108, ""ci_95_low"": 0.2509787054772522, ""ci_95_high"": 0.40231564473616943}, {""term"": ""Sn*Br"", ""coefficient"": -0.1850861807602893, ""ci_95_low"": -0.2762851186032491, ""ci_95_high"": -0.09388724291732949}, {""term"": ""Sn*Cl"", ""coefficient"": -0.2968644819026776, ""ci_95_low"": -0.4055132957154261, ""ci_95_high"": -0.18821566808992912}, {""term"": ""Br*Cl"", ""coefficient"": -0.06421380165959888, ""ci_95_low"": -0.25347217864052324, ""ci_95_high"": 0.12504457532132546}]"
8,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Sn*Br,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Sn*Br,Sn;Br;Cl;Sn^2;Br^2;Cl^2;Sn*Br,7,0.06404925418035537,0.0035897219317408127,0.9569729258098353,49.258526785082594,0.0675352436;0.0681708964;0.0628787140;0.0604331406;0.0612282763,"[{""term"": ""Intercept"", ""coefficient"": 1.5613483372170525, ""ci_95_low"": 1.5513364302770307, ""ci_95_high"": 1.5713602441570742}, {""term"": ""Sn"", ""coefficient"": -1.0800277404506324, ""ci_95_low"": -1.1516730280591803, ""ci_95_high"": -1.0083824528420846}, {""term"": ""Br"", ""coefficient"": 0.4057973812607719, ""ci_95_low"": 0.33446828013383445, ""ci_95_high"": 0.4771264823877094}, {""term"": ""Cl"", ""coefficient"": 1.5232760046704694, ""ci_95_low"": 1.358965871440803, ""ci_95_high"": 1.6875861379001358}, {""term"": ""Sn^2"", ""coefficient"": 0.8765649702709423, ""ci_95_low"": 0.7965835950678208, ""ci_95_high"": 0.9565463454740637}, {""term"": ""Br^2"", ""coefficient"": 0.3226769563313954, ""ci_95_low"": 0.24501391065247546, ""ci_95_high"": 0.4003400020103154}, {""term"": ""Cl^2"", ""coefficient"": -0.014685029901824562, ""ci_95_low"": -0.2068048603855347, ""ci_95_high"": 0.1774348005818856}, {""term"": ""Sn*Br"", ""coefficient"": -0.2125682810358654, ""ci_95_low"": -0.30579568810856145, ""ci_95_high"": -0.11934087396316934}]"
9,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Sn*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Sn*Cl,Sn;Br;Cl;Sn^2;Br^2;Cl^2;Sn*Cl,7,0.06463143803948197,0.008620070873219268,0.9556658607487137,49.19676861543535,0.0622265103;0.0794130862;0.0619413833;0.0567230157;0.0628531947,"[{""term"": ""Intercept"", ""coefficient"": 1.5672875164730016, ""ci_95_low"": 1.5579267396675525, ""ci_95_high"": 1.5766482932784507}, {""term"": ""Sn"", ""coefficient"": -1.1161468365772722, ""ci_95_low"": -1.1866647598126936, ""ci_95_high"": -1.0456289133418508}, {""term"": ""Br"", ""coefficient"": 0.3484643290420383, ""ci_95_low"": 0.2829097206505511, ""ci_95_high"": 0.41401893743352547}, {""term"": ""Cl"", ""coefficient"": 1.5210959881042814, ""ci_95_low"": 1.3588500701744066, ""ci_95_high"": 1.6833419060341561}, {""term"": ""Sn^2"", ""coefficient"": 0.8940143564403323, ""ci_95_low"": 0.8144240862156933, ""ci_95_high"": 0.9736046266649714}, {""term"": ""Br^2"", ""coefficient"": 0.3710810652727291, ""ci_95_low"": 0.29739975085698855, ""ci_95_high"": 0.44476237968846966}, {""term"": ""Cl^2"", ""coefficient"": 0.05073570796258643, ""ci_95_low"": -0.13931116855833853, ""ci_95_high"": 0.24078258448351136}, {""term"": ""Sn*Cl"", ""coefficient"": -0.3190616424026756, ""ci_95_low"": -0.4286236962429929, ""ci_95_high"": -0.20949958856235829}]"
10,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2 + a7*Br*Cl,Sn;Br;Cl;Sn^2;Br^2;Cl^2;Br*Cl,7,0.06459039390276838,0.005483185629963574,0.9560928071703896,712.7216136280937,0.0672505918;0.0721473854;0.0640230209;0.0576212919;0.0619096794,"[{""term"": ""Intercept"", ""coefficient"": 1.569535960151639, ""ci_95_low"": 1.5599413626611043, ""ci_95_high"": 1.5791305576421737}, {""term"": ""Sn"", ""coefficient"": -1.0939559964886902, ""ci_95_low"": -1.166144031028637, ""ci_95_high"": -1.0217679619487434}, {""term"": ""Br"", ""coefficient"": 0.34082880803078996, ""ci_95_low"": 0.2735190315389172, ""ci_95_high"": 0.4081385845226627}, {""term"": ""Cl"", ""coefficient"": 4.248368777820284, ""ci_95_low"": 2.1249360811391895, ""ci_95_high"": 6.371801474501378}, {""term"": ""Sn^2"", ""coefficient"": 0.8470427770641269, ""ci_95_low"": 0.7658922092472725, ""ci_95_high"": 0.9281933448809813}, {""term"": ""Br^2"", ""coefficient"": 0.3773048665482601, ""ci_95_low"": 0.301676995727602, ""ci_95_high"": 0.45293273736891826}, {""term"": ""Cl^2"", ""coefficient"": -2.7312519742992305, ""ci_95_low"": -4.853207274336354, ""ci_95_high"": -0.6092966742621067}, {""term"": ""Br*Cl"", ""coefficient"": -2.77912694389451, ""ci_95_low"": -4.9208687559968105, ""ci_95_high"": -0.6373851317922092}]"
