id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass,dataset_index
0,0.83,0.0,0.17,1.0,0.0,0.2,0.0,0.8,1.61,0,train_0,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,0
1,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,2.49,1,train_1,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,1
2,0.72,0.15,0.13,1.0,0.0,0.167,0.0,0.833,1.63,2,train_2,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,2
3,0.75,0.15,0.1,0.75,0.25,0.167,0.0,0.833,1.36,3,train_3,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,3
4,0.8,0.0,0.2,0.25,0.75,0.0,0.0,1.0,1.2,4,train_4,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,4
5,0.37,0.6,0.03,1.0,0.0,0.008,0.0,0.992,1.6,5,train_5,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,5
6,0.0,1.0,0.0,0.75,0.25,0.6,0.0,0.4,1.73,6,train_6,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,6
7,0.66,0.34,0.0,1.0,0.0,0.14,0.0,0.86,1.62,7,train_7,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,7
8,0.78,0.16,0.06,1.0,0.0,0.17,0.0,0.83,1.63,8,train_8,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,8
9,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.975,1.613,9,train_9,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,9
10,0.73,0.2,0.07,1.0,0.0,0.157,0.0,0.843,1.6,10,train_10,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,10
11,0.83,0.0,0.17,0.8,0.2,0.0,0.0,1.0,1.35,11,train_11,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,11
12,0.75,0.0,0.25,1.0,0.0,0.17,0.0,0.83,1.63,12,train_12,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,12
13,0.8,0.0,0.2,1.0,0.0,0.2,0.0,0.8,1.48,13,train_13,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,13
14,0.85,0.0,0.15,1.0,0.0,0.04,0.0,0.96,1.6,14,train_14,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,14
15,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.606,15,train_15,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,15
17,0.45,0.5,0.05,0.5,0.5,0.0,0.0,1.0,1.26,17,train_17,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,16
18,0.57,0.38,0.05,1.0,0.0,0.0,0.0,1.0,1.54,18,train_18,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,17
19,0.0,0.0,1.0,1.0,0.0,0.8,0.2,0.0,2.33,19,train_19,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,18
20,0.8075,0.1425,0.05,1.0,0.0,0.15,0.0,0.85,1.616,20,train_20,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,19
21,0.7,0.0,0.3,1.0,0.0,0.256,0.0,0.744,1.72,21,train_21,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,20
22,0.6,0.2,0.2,1.0,0.0,0.256,0.0,0.744,1.7,22,train_22,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,21
23,0.0,0.0,1.0,0.6,0.4,0.0,0.0,1.0,1.38,23,train_23,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,22
24,0.17,0.83,0.0,1.0,0.0,1.0,0.0,0.0,2.296,24,train_24,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,23
25,0.6,0.2,0.2,1.0,0.0,0.095,0.0,0.905,1.64,25,train_25,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,24
26,0.8,0.0,0.2,1.0,0.0,0.256,0.0,0.744,1.71,26,train_26,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,25
27,0.79,0.16,0.05,1.0,0.0,0.5,0.0,0.5,1.85,27,train_27,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,26
28,0.0,1.0,0.0,1.0,0.0,0.6,0.0,0.4,1.92,28,train_28,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,27
29,0.0,0.98,0.02,1.0,0.0,0.02,0.0,0.98,1.6,29,train_29,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,28
30,0.33,0.67,0.0,1.0,0.0,0.667,0.0,0.333,1.974,30,train_30,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,29
31,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.65,31,train_31,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,30
32,0.0,1.0,0.0,1.0,0.0,0.59,0.0,0.41,1.96,32,train_32,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,31
33,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,1.25,33,train_33,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,32
34,0.78,0.14,0.08,1.0,0.0,0.14,0.0,0.86,1.61,34,train_34,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,33
35,0.2,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.634,35,train_35,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,34
36,0.9,0.0,0.1,1.0,0.0,0.033,0.0,0.967,1.55,36,train_36,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,35
37,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,1.57,37,train_37,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,36
38,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.254,38,train_38,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,37
39,0.0,1.0,0.0,0.4,0.6,0.3,0.0,0.7,1.25,39,train_39,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,38
40,0.0,0.89,0.11,1.0,0.0,0.0,0.0,1.0,1.62,40,train_40,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,39
41,0.3,0.7,0.0,1.0,0.0,0.7,0.0,0.3,2.03,41,train_41,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,40
42,0.79,0.16,0.05,0.75,0.25,0.167,0.0,0.833,1.34,42,train_42,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,41
43,0.6,0.4,0.0,1.0,0.0,0.256,0.0,0.744,1.72,43,train_43,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,42
44,0.0,0.77,0.23,1.0,0.0,0.0,0.0,1.0,1.644,44,train_44,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,43
46,0.81,0.14,0.05,1.0,0.0,0.15,0.0,0.85,1.63,46,train_46,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,44
47,0.0,1.0,0.0,1.0,0.0,0.023,0.0,0.977,1.61,47,train_47,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,45
48,0.7,0.0,0.3,1.0,0.0,0.095,0.0,0.905,1.63,48,train_48,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,46
49,0.85,0.0,0.15,1.0,0.0,0.3,0.0,0.7,1.72,49,train_49,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,47
50,0.0,1.0,0.0,0.25,0.75,0.4,0.0,0.6,1.34,50,train_50,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,48
51,0.38,0.57,0.05,1.0,0.0,0.067,0.0,0.933,1.57,51,train_51,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,49
52,0.95,0.0,0.05,1.0,0.0,0.05,0.0,0.95,1.538,52,train_52,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,50
53,0.79,0.16,0.05,0.916,0.084,0.173,0.0,0.827,1.38,53,train_53,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,51
54,0.0,1.0,0.0,0.75,0.25,0.4,0.0,0.6,1.59,54,train_54,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,52
55,0.0,1.0,0.0,1.0,0.0,0.12,0.0,0.88,1.62,55,train_55,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,53
56,0.8,0.0,0.2,0.0,1.0,0.0,0.0,1.0,1.2,56,train_56,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,54
57,0.0,0.99,0.01,1.0,0.0,0.01,0.0,0.99,1.6,57,train_57,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,55
58,0.0,0.83,0.17,1.0,0.0,0.0,0.0,1.0,1.633,58,train_58,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,56
59,0.83,0.0,0.17,0.98,0.02,0.0,0.0,1.0,1.51,59,train_59,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,57
60,0.0,1.0,0.0,1.0,0.0,0.33,0.67,0.0,2.81,60,train_60,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,58
61,0.9,0.1,0.0,1.0,0.0,0.01,0.0,0.99,1.581,61,train_61,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,59
62,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.8,1.62,62,train_62,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,60
63,0.87,0.0,0.13,1.0,0.0,0.333,0.0,0.667,1.72,63,train_63,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,61
64,0.0,0.91,0.09,1.0,0.0,0.0,0.0,1.0,1.59,64,train_64,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,62
65,0.0,1.0,0.0,0.5,0.5,0.2,0.0,0.8,1.35,65,train_65,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,63
66,0.83,0.17,0.0,1.0,0.0,0.667,0.0,0.333,1.976,66,train_66,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,64
67,0.84,0.16,0.0,1.0,0.0,0.167,0.0,0.833,1.65,67,train_67,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,65
68,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8,68,train_68,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,66
69,0.8,0.0,0.2,1.0,0.0,0.14,0.0,0.86,1.59,69,train_69,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,67
70,0.0,1.0,0.0,0.25,0.75,0.0,0.0,1.0,1.24,70,train_70,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,68
71,0.0,1.0,0.0,1.0,0.0,0.38,0.0,0.62,1.777,71,train_71,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,69
72,0.0,1.0,0.0,1.0,0.0,0.083,0.0,0.917,1.65,72,train_72,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,70
73,0.4,0.6,0.0,1.0,0.0,0.0,0.0,1.0,1.544,73,train_73,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,71
74,0.0,0.0,1.0,0.0,1.0,0.667,0.0,0.333,1.64,74,train_74,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,72
75,0.79,0.16,0.05,1.0,0.0,0.1,0.0,0.9,1.59,75,train_75,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,73
76,0.475,0.5,0.025,0.5,0.5,0.0,0.0,1.0,1.27,76,train_76,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,74
77,0.83,0.12,0.05,1.0,0.0,0.17,0.0,0.83,1.63,77,train_77,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,75
78,0.79,0.16,0.05,1.0,0.0,0.17,0.0,0.83,1.616,78,train_78,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,76
79,0.94,0.01,0.05,1.0,0.0,0.01,0.0,0.99,1.55,79,train_79,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,77
80,0.83,0.17,0.0,1.0,0.0,0.13,0.0,0.87,1.6,80,train_80,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,78
81,0.75,0.15,0.1,1.0,0.0,0.15,0.0,0.85,1.63,81,train_81,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,79
82,0.0,0.0,1.0,1.0,0.0,0.103,0.0,0.897,1.75,82,train_82,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,80
83,0.71,0.29,0.0,1.0,0.0,0.14,0.0,0.86,1.62,83,train_83,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,81
84,0.33,0.67,0.0,1.0,0.0,0.0,0.0,1.0,1.56,84,train_84,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,82
85,0.976,0.024,0.0,1.0,0.0,0.025,0.0,0.975,1.54,85,train_85,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,83
86,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,1.25,86,train_86,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,84
87,0.79,0.14,0.07,1.0,0.0,0.15,0.0,0.85,1.55,87,train_87,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,85
88,0.6,0.0,0.4,1.0,0.0,0.3,0.0,0.7,1.76,88,train_88,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,86
89,0.0,1.0,0.0,0.8,0.2,0.0,0.0,1.0,1.5,89,train_89,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,87
90,0.0,0.95,0.05,1.0,0.0,0.0,0.0,1.0,1.51,90,train_90,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,88
91,0.747,0.153,0.1,1.0,0.0,0.17,0.0,0.83,1.73,91,train_91,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,89
92,0.0,1.0,0.0,1.0,0.0,0.017,0.0,0.983,1.58,92,train_92,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,90
93,0.83,0.0,0.17,0.99,0.01,0.0,0.0,1.0,1.52,93,train_93,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,91
94,0.79,0.15,0.06,1.0,0.0,0.15,0.0,0.85,1.64,94,train_94,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,92
95,0.0,0.0,1.0,1.0,0.0,0.03,0.0,0.97,1.77,95,train_95,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,93
96,0.71,0.14,0.15,1.0,0.0,0.3,0.0,0.7,1.7,96,train_96,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,94
97,0.0,0.6,0.4,1.0,0.0,0.0,0.0,1.0,1.62,97,train_97,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,95
98,0.83,0.17,0.0,1.0,0.0,0.5,0.0,0.5,1.853,98,train_98,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,96
99,0.83,0.17,0.0,1.0,0.0,0.833,0.0,0.167,2.113,99,train_99,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,97
100,0.3,0.7,0.0,1.0,0.0,0.05,0.0,0.95,1.6,100,train_100,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,98
101,0.81,0.14,0.05,1.0,0.0,0.133,0.0,0.867,1.61,101,train_101,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,99
102,0.0,0.66,0.34,1.0,0.0,0.0,0.0,1.0,1.652,102,train_102,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,100
103,0.945,0.025,0.03,1.0,0.0,0.025,0.0,0.975,1.56,103,train_103,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,101
104,0.9,0.0,0.1,1.0,0.0,0.03,0.0,0.97,1.54,104,train_104,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,102
105,0.75,0.0,0.25,1.0,0.0,0.0,0.0,1.0,1.57,105,train_105,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,103
106,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.589,106,train_106,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,104
107,0.8,0.0,0.2,0.75,0.25,0.0,0.0,1.0,1.35,107,train_107,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,105
108,0.0,1.0,0.0,1.0,0.0,0.007,0.0,0.993,1.6,108,train_108,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,106
109,0.75,0.15,0.1,1.0,0.0,0.15,0.0,0.85,1.63,109,train_109,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,107
110,0.79,0.16,0.05,1.0,0.0,0.157,0.0,0.843,1.59,110,train_110,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,108
111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.48,111,train_111,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,109
112,0.0,1.0,0.0,0.75,0.25,0.0,0.0,1.0,1.24,112,train_112,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,110
113,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.1,2.32,113,train_113,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,111
114,0.58,0.33,0.09,1.0,0.0,0.217,0.0,0.783,1.59,114,train_114,train,0.9999999999999999,1.0,1.0,-1.1102230246251565e-16,0.0,0.0,True,True,True,112
115,0.0,1.0,0.0,1.0,0.0,0.03,0.0,0.97,1.6,115,train_115,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,113
116,0.78,0.15,0.07,1.0,0.0,0.15,0.0,0.85,1.61,116,train_116,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,114
117,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.61,117,train_117,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,115
118,0.765,0.135,0.1,1.0,0.0,0.15,0.0,0.85,1.611,118,train_118,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,116
119,0.83,0.0,0.17,1.0,0.0,0.6,0.0,0.4,1.93,119,train_119,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,117
120,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.872,120,train_120,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,118
121,0.83,0.17,0.0,1.0,0.0,0.11,0.0,0.89,1.59,121,train_121,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,119
122,0.7,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.512,122,train_122,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,120
123,0.0,0.0,1.0,0.0,1.0,0.67,0.33,0.0,1.9,123,train_123,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,121
124,0.7,0.0,0.3,1.0,0.0,1.0,0.0,0.0,2.287,124,train_124,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,122
125,0.85,0.15,0.0,1.0,0.0,0.0,0.0,1.0,1.549,125,train_125,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,123
126,0.0,1.0,0.0,0.875,0.125,0.0,0.0,1.0,1.42,126,train_126,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,124
127,0.4,0.6,0.0,1.0,0.0,0.008,0.0,0.992,1.6,127,train_127,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,125
128,0.0,0.85,0.15,1.0,0.0,0.15,0.0,0.85,1.717,128,train_128,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,126
129,0.76,0.14,0.1,1.0,0.0,0.17,0.0,0.83,1.61,129,train_129,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,127
130,0.79,0.16,0.05,0.5,0.5,0.167,0.0,0.833,1.31,130,train_130,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,128
131,0.0,1.0,0.0,1.0,0.0,0.04,0.0,0.96,1.6,131,train_131,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,129
132,0.17,0.83,0.0,1.0,0.0,0.833,0.0,0.167,2.153,132,train_132,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,130
133,0.54,0.36,0.1,1.0,0.0,0.0,0.0,1.0,1.51,133,train_133,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,131
134,0.0,0.0,1.0,1.0,0.0,0.15,0.0,0.85,1.84,134,train_134,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,132
135,0.83,0.17,0.0,1.0,0.0,0.167,0.0,0.833,1.606,135,train_135,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,133
136,0.81,0.14,0.05,1.0,0.0,0.15,0.0,0.85,1.597,136,train_136,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,134
137,0.0,0.9,0.1,1.0,0.0,0.0,0.0,1.0,1.54,137,train_137,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,135
138,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.17,138,train_138,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,136
139,0.81,0.09,0.1,1.0,0.0,0.033,0.0,0.967,1.55,139,train_139,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,137
140,0.83,0.12,0.05,1.0,0.0,0.12,0.0,0.88,1.61,140,train_140,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,138
141,0.0,0.0,1.0,1.0,0.0,0.067,0.0,0.933,1.82,141,train_141,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,139
142,0.67,0.33,0.0,1.0,0.0,0.667,0.0,0.333,1.969,142,train_142,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,140
143,0.0,1.0,0.0,0.75,0.25,0.7,0.0,0.3,1.8,143,train_143,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,141
144,0.84,0.16,0.0,1.0,0.0,0.17,0.0,0.83,1.64,144,train_144,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,142
145,0.0,0.85,0.15,1.0,0.0,0.0,0.0,1.0,1.59,145,train_145,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,143
146,0.83,0.0,0.17,0.95,0.05,0.0,0.0,1.0,1.485,146,train_146,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,144
147,0.85,0.0,0.15,1.0,0.0,0.15,0.0,0.85,1.535,147,train_147,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,145
148,0.0,0.0,1.0,1.0,0.0,0.333,0.0,0.667,1.92,148,train_148,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,146
149,0.0,1.0,0.0,1.0,0.0,0.05,0.0,0.95,1.577,149,train_149,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,147
150,0.8,0.16,0.04,1.0,0.0,0.167,0.0,0.833,1.61,150,train_150,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,148
151,0.6,0.4,0.0,0.4,0.6,0.1,0.0,0.9,1.354,151,train_151,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,149
152,0.0,1.0,0.0,0.75,0.25,1.0,0.0,0.0,2.03,152,train_152,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,150
154,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.4,154,train_154,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,151
155,0.84,0.16,0.0,1.0,0.0,0.133,0.0,0.867,1.53,155,train_155,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,152
156,0.0,0.0,1.0,1.0,0.0,0.07,0.0,0.93,1.81,156,train_156,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,153
157,0.0,0.0,1.0,1.0,0.0,0.05,0.0,0.95,1.736,157,train_157,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,154
158,0.33,0.67,0.0,1.0,0.0,0.167,0.0,0.833,1.671,158,train_158,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,155
159,0.0,1.0,0.0,0.4,0.6,0.6,0.0,0.4,1.29,159,train_159,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,156
160,0.85,0.0,0.15,1.0,0.0,0.1,0.0,0.9,1.56,160,train_160,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,157
161,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.72,161,train_161,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,158
162,0.0,1.0,0.0,1.0,0.0,0.107,0.0,0.893,1.64,162,train_162,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,159
163,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.75,1.694,163,train_163,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,160
164,0.17,0.83,0.0,1.0,0.0,0.5,0.0,0.5,1.858,164,train_164,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,161
165,0.0,1.0,0.0,0.2,0.8,0.0,0.0,1.0,1.204,165,train_165,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,162
166,0.7,0.3,0.0,1.0,0.0,0.0,0.0,1.0,1.582,166,train_166,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,163
167,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.625,167,train_167,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,164
168,0.1,0.9,0.0,1.0,0.0,0.1,0.0,0.9,1.586,168,train_168,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,165
169,0.75,0.0,0.25,1.0,0.0,0.2,0.0,0.8,1.7,169,train_169,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,166
170,0.0,1.0,0.0,1.0,0.0,0.62,0.38,0.0,2.64,170,train_170,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,167
171,0.66,0.14,0.2,0.75,0.25,0.167,0.0,0.833,1.38,171,train_171,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,168
172,0.125,0.875,0.0,1.0,0.0,0.0,0.0,1.0,1.55,172,train_172,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,169
173,0.78,0.14,0.08,1.0,0.0,0.14,0.0,0.86,1.61,173,train_173,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,170
174,0.0,1.0,0.0,1.0,0.0,0.033,0.0,0.967,1.601,174,train_174,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,171
175,0.67,0.33,0.0,1.0,0.0,0.0,0.0,1.0,1.528,175,train_175,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,172
